id,language,prompt,domain
gpt-37,kri,Udat na bin di Praymɛnt Minista fɔ Briten insay bɔku pan Wɔl Wɔ Tu?,history
gpt-38,kri,Us ia di Taytanik bin sink?,history
gpt-39,kri,Udat na bin di fɔs blak Prɛsidɛnt fɔ Sawt Afrika?,history
gpt-40,kri,Us ia di Rɔshian Rivɔlɔshɔn bin apin?,history
gpt-41,kri,Wetin na di sɔm fɔ tɛn ɛn fayv?,maths
gpt-42,kri,Aw bɔku sɛvin multiply wit thre?,maths
gpt-43,kri,Wetin na di skwea rut fɔ siksti?,maths
gpt-44,kri,"If yu pul et pan fayvtin, wetin go bi?",maths
gpt-45,kri,Wetin na di valyu fɔ twɛnti we dɛn sheb to 4?,maths
gpt-46,kri,Wetin na di prodakt fɔ siks ɛn nayn?,maths
gpt-47,kri,Aw bɔku yu kin gɛt we yu ad twɛlv ɛn ettin?,maths
gpt-48,kri,Wetin na di quotient we yu divayd tati to fayv?,maths
gpt-49,kri,"If yu ad di skwea fɔ tri to di skwea fɔ 4, wetin go bi?",maths
gpt-50,kri,Wetin na di ɔda wan we lɛf we yu sheb sɛvintin to sɛvin?,maths
gpt-51,kri,Ɔmɔs kɔntinɛnt dɛn de?,geography
gpt-52,kri,Us riva we lɔng pas ɔl na di wɔl?,geography
gpt-53,kri,Wetin na di mawnten we ay pas ɔl na Nɔt Amɛrika?,geography
gpt-54,kri,Us kɔntinɛnt we big pas ɔl pan di land eria?,geography
gpt-55,kri,Wetin na di kɔntinɛnt we smɔl pas ɔl bay di land eria?,geography
gpt-56,kri,Us kɔntri gɛt di kɔst we lɔng pas ɔl?,geography
gpt-57,kri,Us si de na di wɛst pat na Sawt Amɛrika?,geography
gpt-58,kri,Wetin na di ɔfishal langwej na Brazil?,geography
gpt-59,kri,Wetin na di wata we de fɔdɔm we ay pas ɔl na di wɔl?,geography
gpt-60,kri,Wetin na di kɔntri we big pas ɔl na di wɔl bay di land eria?,geography
gpt-61,kri,Wetin na di tri men kɔlɔ dɛn?,art
gpt-62,kri,Wetin na pɔtrɛt?,art
gpt-63,kri,Us art we de yuz kamɛra fɔ mek art wok?,art
gpt-64,kri,Wetin na di men tin dɛn we dɛn kin yuz fɔ mek skapul dɛn?,art
gpt-65,kri,Udat bin peint di Mona Lisa?,art
gpt-66,kri,Wetin dɛn kɔl di art fɔ fold pepa?,art
gpt-67,kri,Wetin na kolaj?,art
gpt-68,kri,Wetin yu kin gɛt we yu miks rɛd ɛn yɔlɔ pent togɛda?,art
gpt-69,kri,Wetin kin apin we yu miks wayt pent wit ɛni ɔda kɔlɔ?,art
gpt-70,kri,Wetin kin apin we yu miks blak pent wit ɛni ɔda kɔlɔ?,art
gpt-71,kri,"Insay sɔk, us pat pan di bɔdi nɔ alaw fɔ tɔch di bɔl, pas di golkipa?",sports
gpt-72,kri,"Wetin na gem we dɛn kin yuz rawnd bɔl ɛn huk, ɛn di wan dɛn we de ple kin gɛt poɛnt bay we dɛn kin trowe di bɔl tru di huk?",sports
gpt-73,kri,Wetin yu kin kɔl am we yu hit bɔl ɛn nak ɔl di pin dɛn dɔŋ?,sports
gpt-74,kri,Wetin na spɔt we gɛt fɔ du wit fɔ nak bɔl wit bat ɛn rɔn rawnd bays?,sports
gpt-75,kri,"Us spɔt min fɔ swim, rayd baysikul, ɛn rɔn we pɔsin de rɔn?",sports
gpt-76,kri,Insay us spɔt di wan dɛn we de ple kin tray fɔ sink wan smɔl wayt bɔl insay sɔm ol dɛn na wan kɔs we dɛn de yuz di smɔl smɔl strɔk dɛn?,sports
gpt-77,kri,"Wetin na spɔt we gɛt fɔ du wit fɔ rayd wef pan bɔd, tray fɔ tinap ɛn balans?",sports
gpt-78,kri,Wetin na spɔt we gɛt fɔ du wit fɔ glid pan ays yuz shap bled dɛn we dɛn tay pan yu sus?,sports
gpt-79,kri,Us spɔt min fɔ slayv dɔŋ wan ples we gɛt sno pan ski?,sports
gpt-80,kri,Us spɔt atlet dɛn kin trowe ebi ebi mɛtal bɔl as fa as dɛn ebul?,sports
gpt-81,kri,"Insay myuzik, wetin wi kin kɔl di sayn dɛn we dɛn rayt we de sho difrɛn pitch dɛn?",music
gpt-82,kri,Wetin na di nem fɔ wan big grup we de ple klasical myusishan dɛn we de ple togɛda?,music
gpt-83,kri,"Insay myuzik, wetin wi kin kɔl di ay ɔ lɔw we sawnd gɛt?",music
gpt-84,kri,Wetin na wɔd fɔ wan grup we de siŋ we de ple togɛda?,music
gpt-85,kri,Ɔmɔs string dɛn wan standad gita gɛt?,music
gpt-86,kri,"Insay myuzik, wetin na di wɔd fɔ di spid we siŋ de spid?",music
gpt-87,kri,Wetin na ɛgzampul bɔt inschrumɛnt we yu kin blo insay fɔ mek myuzik?,music
gpt-88,kri,Wetin na inschrumɛnt we yu kin ple bay we yu nak am wit stik?,music
gpt-89,kri,Wetin na nem fɔ pɔsin we de rayt myuzik?,music
gpt-90,kri,Us kɔlɔ dɛn na di ki dɛn na wan standad piano?,music
gpt-91,kri,Wetin na di animal we big pas ɔl na di land?,animals
gpt-92,kri,Wetin bi dɛn kin gɛda frɔm flawa dɛn?,animals
gpt-93,kri,Wetin na di animal we de fast pas ɔl na di land?,animals
gpt-94,kri,Us animal dɛn sabi fɔ in hump ɛn we de liv na di dɛzat?,animals
gpt-95,kri,Wetin na ɛgzampul bɔt bɔd we ebul fɔ swim bɔt i nɔ ebul fɔ flay?,animals
gpt-96,kri,Us reptayl dɛn sabi fɔ chenj in skin kɔlɔ fɔ miks wit di tin dɛn we de arawnd am?,animals
gpt-97,kri,Us animal gɛt rili lɔng nɛk ɛn dɛn sabi am fɔ rich ay ay lif dɛn na tik?,animals
gpt-98,kri,Us bɔd dɛn sabi fɔ in fɛda dɛn we gɛt kɔlɔ ɛn we i ebul fɔ falamakata mɔtalman sawnd?,animals
gpt-99,kri,Us smɔl animal we de na nɛt we dɛn sabi fɔ hang ɔpsayd dɔŋ na tik dɛn?,animals
gpt-100,kri,Wetin na di big big pusi ɛn pipul dɛn sabi am fɔ in difrɛn blak ɛn ɔrɛnj strɛp dɛn?,animals
lmsys-1,kri,Udat na bin di fɔs prɛsidɛnt fɔ Brazil?,none
lmsys-2,kri,Wetin na di kapital siti na Frans?,none
lmsys-3,kri,Wetin we pas dat: tu pawn fɛda ɔ wan pawn brik?,none
lmsys-4,kri,Udat na bin di Prɛsidɛnt fɔ Amɛrika insay 2013?,none
lmsys-5,kri,"If di ɛndpɔynt dɛn fɔ wan layn sɛgmɛnt na (2, -2) ɛn (10, -2), wetin na di lɔng we di sɛgmɛnt gɛt?",none
lmsys-6,kri,Wetin na di kapital siti na Tanzania?,none
lmsys-7,kri,Wetin na tu plus tu?,none
lmsys-8,kri,Wetin na di skwea rut fɔ 121?,none
lmsys-9,kri,Wetin na banana?,none
lmsys-10,kri,Wetin na tri to di pawa we fayv gɛt?,none
lmsys-11,kri,"Tɛn bɔd dɛn de na wan tik. If wan flay go, ɔmɔs dɛn lɛf na di tik?",none
lmsys-12,kri,Ɔmɔs planɛt dɛn de na di solar sistem?,none
lmsys-13,kri,Wetin na di mawnten we ay pas ɔl na Jepan?,none
lmsys-14,kri,"If yu bin de na res ɛn pas di pɔsin we de na sɛkɔn ples, us ples yu go de naw?",none
lmsys-15,kri,Yu tink se pusi dɛn gɛt fang?,none
lmsys-16,kri,Us kɔlɔ di skay gɛt?,none
lmsys-17,kri,Udat na di fɔs man we bin de na di mun?,none
lmsys-18,kri,If x+y = 8 ɛn (x/2) = 3 den wetin na di valyu fɔ x ɛn y?,none
lmsys-19,kri,Wetin na fayvtin to di pawa we tu gɛt?,none
lmsys-20,kri,Wetin na di kapital siti na Jamani?,none
lmsys-21,kri,Us kɔlɔ na grɔn motoka?,none
lmsys-22,kri,Udat na bin di fɔs praymɛnt minista fɔ India?,none
lmsys-23,kri,Us animal kin rɔn fast: na tɔl ɔ na rɔbish?,none
lmsys-24,kri,Wetin na di sayn fɔ 180 digri?,none
lmsys-25,kri,"Insay 2020, us kɔntri bin gɛt bɔku pipul dɛn?",none
lmsys-26,kri,Aw lɔng di Ifɛl Tawa lɔng?,none
lmsys-27,kri,Wetin na dɔg?,none
lmsys-28,kri,"If motoka travul 120 mayl insay tu awa, wetin na in avrej spid insay mayl pan awa?",none
lmsys-29,kri,Wetin na wan plus tu mayns tri plus fo minus faiv?,none
lmsys-30,kri,Wetin na di kapital siti na India?,none
lmsys-31,kri,Wetin na di fɔs sɛvin praymɛnt nɔmba dɛn?,none
lmsys-32,kri,Wetin na apul?,none
lmsys-33,kri,Ɔmɔs fut kɔk gɛt?,none
lmsys-34,kri,Wetin na di kapital siti na Brazil?,none
lmsys-35,kri,Wetin na di skwea rut fɔ tu?,none
lmsys-36,kri,Udat na bin di praymɛnt minista fɔ Ɔstrelia insay 2017?,none
lmsys-37,kri,Us tim win di Futbal Wol Kap fo 2018?,none
lmsys-38,kri,Wetin na wan plus wan?,none
lmsys-39,kri,Udat na bin di prɛsidɛnt fɔ Polan insay 2016?,none
lmsys-40,kri,Udat na bin di fɔs prɛsidɛnt fɔ Amɛrika?,none
lmsys-41,kri,Fayv na praymɛnt nɔmba?,none
lmsys-42,kri,"If tide na Tɛstamɛnt, us de na di de afta tumara?",none
lmsys-43,kri,"If fama gɛt sɛvintin ship ɛn ɔl day pas nayn, ɔmɔs de lɛf?",none
lmsys-44,kri,"If 2x+1=x, wetin na x?",none
lmsys-45,kri,Usay na Yurop na Paris?,none
lmsys-46,kri,Wetin na di sɔlv fɔ 2x+1 = 0?,none
lmsys-47,kri,Wetin na nayn plus tɛn?,none
lmsys-48,kri,"Us nɔmba na di big wan: twɛnti, tati-fo ɔ tati wan?",none
lmsys-49,kri,Wetin na di kapital siti na Chaina?,none
lmsys-50,kri,Ɔmɔs string dɛn wan standad vaylin gɛt?,none
lmsys-51,kri,Wetin na di sɔlv fɔ (3/2)*x + 1 = 0?,none
lmsys-52,kri,Wetin na di sɔm ɔf ɔl di nɔmba dɛn frɔm fayv to tɛn?,none
lmsys-53,kri,"If a miks rɛd ɛn blu pent togɛda ɛn afta dat a peint mi wɔl, us kɔlɔ mi wɔl go bi?",none
lmsys-54,kri,Uswan ebi pas am: wan kilogram ayɛn ɔ wan kilogram kɔtɔn?,none
lmsys-55,kri,Wetin na di skwea rut fɔ wan ɔndrɛd?,none
lmsys-56,kri,Wetin na tri tɛm sɛvin?,none
lmsys-57,kri,Udat na bin di prɛsidɛnt fɔ Frans insay 2013?,none
lmsys-58,kri,Wetin na 3+3*5?,none
lmsys-59,kri,Yu tink se di ia 2000 na bin lip ia?,none
lmsys-60,kri,Wetin na di nɔmba fayv planɛt frɔm di san na wi solar sistem?,none
lmsys-61,kri,Wetin na pusi?,none
lmsys-62,kri,Yu tink se di wɔl flat?,none
lmsys-63,kri,Wetin na di mawnten we ay pas ɔl na di wɔl?,none
lmsys-64,kri,"If x + y = 10 ɛn x - y = 2, wetin na x ɛn y?",none
lmsys-65,kri,Wetin na layɔn?,none
lmsys-66,kri,Us kayn kɔlɔ a kin gɛt we a miks yɔlɔ ɛn blu?,none
lmsys-67,kri,Wetin mays dɛn kin it?,none
lmsys-68,kri,Wetin na di valyu fɔ x if 5x + 3 = 23?,none
lmsys-69,kri,Wetin na di skwea rut fɔ 144 to di wan ol nɔmba we de nia am?,none
lmsys-70,kri,Us tu kɔntri dɛn na Sawt Amɛrika nɔ gɛt bɔda wit Brazil?,none
lmsys-71,kri,Wetin na ɔs?,none
lmsys-72,kri,Wetin na di big big si na di wɔl?,none
lmsys-73,kri,Wetin na Llama?,none
lmsys-74,kri,Wetin na di animal we big pas ɔlman na di wɔl?,none
lmsys-75,kri,Wetin na di kapital siti na Swidan?,none
lmsys-76,kri,Yu tink se vegans kin it fish?,none
lmsys-77,kri,Wetin big pas am: di san ɔ di mun?,none
lmsys-78,kri,Wetin na 2 + 2 * 3?,none
lmsys-79,kri,Wetin na di kɔlɔ we wayt ɔs gɛt?,none
lmsys-80,kri,Wetin na di kapital siti na Itali?,none
lmsys-81,kri,Wetin na di kapital siti na di Netherlands?,none
lmsys-82,kri,Pɛngwin dɛn kin ebul fɔ flay?,none
lmsys-83,kri,Ɔmɔs blak skwea dɛn de na wan chɛs bod?,none
lmsys-84,kri,"If 2x + 5 = 15, wetin na x?",none
lmsys-85,kri,Wetin na di kapital siti na Ɔstrelia?,none
lmsys-86,kri,Wetin na di sɛkɔn planɛt frɔm di san na wi solar sistem?,none
lmsys-87,kri,Ɔmɔs leg tu mɔtalman ɛn fayv pusi gɛt ɔl togɛda?,none
lmsys-88,kri,Us siti di Ifel Tawa de?,none
lmsys-89,kri,Yu tink se twɛnti sɛvin na praymɛnt nɔmba?,none
lmsys-90,kri,Udat na bin Prɛsidɛnt fɔ Amɛrika insay 1955?,none
lmsys-91,kri,Ɔmɔs tel nɔmal dɔg dɛn gɛt?,none
lmsys-92,kri,Yu tink se tu tɛm tri ikwal to 4?,none
lmsys-93,kri,"If a bin gɛt tu apul ɛn it wan banana, ɔmɔs apul a bin fɔ dɔn lɛf?",none
lmsys-94,kri,Wetin na di lek we big pas ɔl na di wɔl?,none
lmsys-95,kri,"Wetin na di nɛks nɔmba na di sikyud we bigin 1, 4, 9, 16, 25?",none
lmsys-96,kri,Us kɔlɔ na strawberry?,none
lmsys-97,kri,Wetin na 5 * 5 + 5?,none
lmsys-98,kri,Wetin na tu plus faiv?,none
lmsys-99,kri,Wetin na lɛmon?,none
lmsys-100,kri,"Wetin na di midyan fɔ wan, tri, sɛvin, 4 ɛn tu?",none
gpt-1,bn,পানির রাসায়নিক সূত্র কি?,chemistry
gpt-2,bn,সমুদ্রপৃষ্ঠে পানির স্ফুটনাঙ্ক কত?,chemistry
gpt-3,bn,পদার্থের তিনটি অবস্থা কি?,chemistry
gpt-4,bn,যথেষ্ট ঠান্ডা হয়ে গেলে পানির কী হবে?,chemistry
gpt-5,bn,পদার্থের ক্ষুদ্রতম একক কী?,chemistry
gpt-6,bn,জীবিত থাকার জন্য আমরা কোন গ্যাসে শ্বাস নিই?,chemistry
gpt-7,bn,যে প্রক্রিয়ায় একটি তরল তার স্ফুটনাঙ্কের নিচে গ্যাসে পরিণত হয় তাকে কী বলে?,chemistry
gpt-8,bn,যে কণাগুলো পরমাণুর নিউক্লিয়াস তৈরি করে তাদের নাম কী?,chemistry
gpt-9,bn,তরল পদার্থের কঠিন পদার্থে পরিবর্তনকে কী বলে?,chemistry
gpt-10,bn,অক্সিজেনের রাসায়নিক সূত্র কি?,chemistry
gpt-11,bn,একটি রংধনুতে কয়টি রঙ থাকে?,physics
gpt-12,bn,কোন শক্তি বস্তুকে পৃথিবীর দিকে টানে?,physics
gpt-13,bn,পৃথিবীর সবচেয়ে কঠিন প্রাকৃতিক পদার্থ কি?,physics
gpt-14,bn,কেন বরফ পানির উপর ভাসে?,physics
gpt-15,bn,মাটিতে ঘূর্ণায়মান একটি বল শেষ পর্যন্ত চলা বন্ধ করে দেয় কেন?,physics
gpt-16,bn,জল বা কাচের মধ্য দিয়ে যাওয়ার সময় আলোর নমনকে কী বলে?,physics
gpt-17,bn,হিলিয়াম বেলুন কেন বাতাসে ওঠে?,physics
gpt-18,bn,একটি পালক পড়ে গেলে পাথরের চেয়ে ধীরে ধীরে কেন পড়ে?,physics
gpt-19,bn,চুম্বক নির্দিষ্ট বস্তুকে আকর্ষণ করে এমন অদৃশ্য শক্তির নাম কী?,physics
gpt-20,bn,ঝড়ের সময় বজ্র শোনার আগে কেন আমরা বজ্রপাত দেখি?,physics
gpt-21,bn,পৃথিবীর নিকটতম নক্ষত্রের নাম কি?,astronomy
gpt-22,bn,আলোকবর্ষ কাকে বলে?,astronomy
gpt-23,bn,পৃথিবীতে কয়টি চাঁদ আছে?,astronomy
gpt-24,bn,আমাদের সোলার সিস্টেমের মধ্যে বৃহত্তম গ্রহ কি?,astronomy
gpt-25,bn,একটি নক্ষত্রকে প্রদক্ষিণ করে এমন একদল গ্রহকে কী বলা হয়?,astronomy
gpt-26,bn,কেন সূর্য পূর্ব দিকে উদিত হয় এবং পশ্চিমে অস্ত যায়?,astronomy
gpt-27,bn,ব্ল্যাক হোল কি?,astronomy
gpt-28,bn,ছায়াপথ কি?,astronomy
gpt-29,bn,ধূমকেতু কি?,astronomy
gpt-30,bn,আমাদের সৌরজগতের সবচেয়ে বড় নক্ষত্র কোনটি?,astronomy
gpt-31,bn,চীনের প্রথম সম্রাট কে ছিলেন?,history
gpt-32,bn,মার্কিন যুক্তরাষ্ট্রের প্রথম রাজধানী কোন শহর ছিল?,history
gpt-33,bn,মার্কিন যুক্তরাষ্ট্র কত সালে তার স্বাধীনতা ঘোষণা করে?,history
gpt-34,bn,কোন সালে মানুষ প্রথম চাঁদে অবতরণ করে?,history
gpt-35,bn,কোন সাম্রাজ্য ইতিহাসের বৃহত্তম সংলগ্ন স্থল সাম্রাজ্য ছিল?,history
gpt-36,bn,কোন প্রাচীন মিশরীয় কাঠামো তার ত্রিভুজাকার আকৃতির জন্য পরিচিত?,history
gpt-37,bn,দ্বিতীয় বিশ্বযুদ্ধের বেশিরভাগ সময় ব্রিটেনের প্রধানমন্ত্রী কে ছিলেন?,history
gpt-38,bn,টাইটানিক কত সালে ডুবেছিল?,history
gpt-39,bn,দক্ষিণ আফ্রিকার প্রথম কৃষ্ণাঙ্গ রাষ্ট্রপতি কে ছিলেন?,history
gpt-40,bn,রুশ বিপ্লব কত সালে সংঘটিত হয়?,history
gpt-41,bn,দশ এবং পাঁচের যোগফল কত?,maths
gpt-42,bn,সাতকে তিন দিয়ে গুণ করলে কত হয়?,maths
gpt-43,bn,ষোলটির বর্গমূল কত?,maths
gpt-44,bn,পনের থেকে আট বিয়োগ করলে ফলাফল কী হবে?,maths
gpt-45,bn,বিশকে চার দিয়ে ভাগ করলে মান কত?,maths
gpt-46,bn,ছয় ও নয়ের গুণফল কত?,maths
gpt-47,bn,আপনি বারো এবং আঠার যোগ করলে আপনি কত পাবেন?,maths
gpt-48,bn,ত্রিশকে পাঁচ দিয়ে ভাগ করলে ভাগফল কত?,maths
gpt-49,bn,চারের বর্গের সাথে তিনের বর্গ যোগ করলে ফলাফল কী হবে?,maths
gpt-50,bn,সতেরোকে সাত দিয়ে ভাগ করলে অবশিষ্ট কত?,maths
gpt-51,bn,কয়টি মহাদেশ আছে?,geography
gpt-52,bn,পৃথিবীর দীর্ঘতম নদী কোনটি?,geography
gpt-53,bn,উত্তর আমেরিকার সর্বোচ্চ পর্বত কোনটি?,geography
gpt-54,bn,ভূমি আয়তনের দিক থেকে কোন মহাদেশ বৃহত্তম?,geography
gpt-55,bn,স্থলভাগের দিক থেকে ক্ষুদ্রতম মহাদেশ কোনটি?,geography
gpt-56,bn,কোন দেশের দীর্ঘতম উপকূলরেখা রয়েছে?,geography
gpt-57,bn,দক্ষিণ আমেরিকার পশ্চিমে কোন মহাসাগর অবস্থিত?,geography
gpt-58,bn,ব্রাজিলের সরকারী ভাষা কি?,geography
gpt-59,bn,পৃথিবীর সর্বোচ্চ জলপ্রপাত কোনটি?,geography
gpt-60,bn,ভূমি আয়তনে বিশ্বের বৃহত্তম দেশ কোনটি?,geography
gpt-61,bn,তিনটি প্রাথমিক রং কি কি?,art
gpt-62,bn,একটি প্রতিকৃতি কি?,art
gpt-63,bn,আর্টওয়ার্ক তৈরি করার জন্য কোন শিল্প ফর্ম একটি ক্যামেরা ব্যবহার করে?,art
gpt-64,bn,ভাস্কর্য তৈরিতে ব্যবহৃত প্রাথমিক উপকরণগুলি কী কী?,art
gpt-65,bn,মোনালিসা কে এঁকেছেন?,art
gpt-66,bn,কাগজ ভাঁজ করার শিল্পকে কী বলা হয়?,art
gpt-67,bn,একটি কোলাজ কি?,art
gpt-68,bn,আপনি যখন লাল এবং হলুদ রঙ একসাথে মিশ্রিত করেন তখন আপনি কী পান?,art
gpt-69,bn,আপনি অন্য কোন রঙের সাথে সাদা পেইন্ট মিশ্রিত করলে কি হয়?,art
gpt-70,bn,আপনি অন্য কোন রঙের সাথে কালো রং মেশালে কি হবে?,art
gpt-71,bn,"ফুটবলে, গোলকিপার ছাড়া শরীরের কোন অংশে বল স্পর্শ করতে দেওয়া হয় না?",sports
gpt-72,bn,একটি খেলা যা একটি বৃত্তাকার বল এবং হুপ ব্যবহার করে এবং খেলোয়াড়রা হুপের মাধ্যমে বল নিক্ষেপ করে পয়েন্ট স্কোর করে?,sports
gpt-73,bn,আপনি যখন একটি বোলিং বল আঘাত করেন এবং সমস্ত পিন ছিটকে দেন তখন এটিকে কী বলে?,sports
gpt-74,bn,ব্যাট দিয়ে বল আঘাত করা এবং ঘাঁটির চারপাশে দৌড়ানো এমন একটি খেলা কী?,sports
gpt-75,bn,"কোন খেলায় সাঁতার কাটা, বাইক চালানো এবং দৌড়ে দৌড়ানো জড়িত?",sports
gpt-76,bn,"কোন খেলায় খেলোয়াড়রা সবচেয়ে কম স্ট্রোক ব্যবহার করে একটি কোর্সে একটি ছোট, সাদা বলকে গর্তের একটি সিরিজে ডুবানোর চেষ্টা করে?",sports
gpt-77,bn,"একটি খেলা কি একটি বোর্ডে তরঙ্গ অশ্বারোহণ জড়িত, দাঁড়ানো এবং ভারসাম্য করার চেষ্টা করা?",sports
gpt-78,bn,আপনার জুতার সাথে সংযুক্ত ধারালো ব্লেড ব্যবহার করে বরফের উপর গ্লাইডিং জড়িত এমন একটি খেলা কী?,sports
gpt-79,bn,কোন খেলায় একজোড়া স্কিসের উপর তুষারময় ঢাল বেয়ে নিচে নামতে হয়?,sports
gpt-80,bn,কোন খেলায় ক্রীড়াবিদরা যতদূর পারে ভারী ধাতুর বল নিক্ষেপ করে?,sports
gpt-81,bn,"সঙ্গীতে, বিভিন্ন পিচের প্রতিনিধিত্বকারী লিখিত প্রতীকগুলিকে আমরা কী বলি?",music
gpt-82,bn,একত্রে বাজানো শাস্ত্রীয় সঙ্গীতশিল্পীদের একটি বড় দলের নাম কী?,music
gpt-83,bn,সঙ্গীতে ধ্বনির উচ্চতা বা নিম্নতাকে আমরা কী বলি?,music
gpt-84,bn,গায়কদের একটি দল যারা একসঙ্গে পরিবেশন করে তাদের জন্য একটি শব্দ কি?,music
gpt-85,bn,একটি স্ট্যান্ডার্ড গিটারে কয়টি স্ট্রিং থাকে?,music
gpt-86,bn,সঙ্গীতে গানের গতিকে কী বলে?,music
gpt-87,bn,একটি যন্ত্রের উদাহরণ কী যা আপনি সঙ্গীত তৈরি করতে ফুঁকছেন?,music
gpt-88,bn,লাঠি দিয়ে আঘাত করে আপনি বাজান এমন একটি যন্ত্র কী?,music
gpt-89,bn,একজন ব্যক্তি যিনি সঙ্গীত লেখেন তার নাম কী?,music
gpt-90,bn,একটি স্ট্যান্ডার্ড পিয়ানো কি রং কি?,music
gpt-91,bn,বৃহত্তম স্থল প্রাণী কি?,animals
gpt-92,bn,মৌমাছি ফুল থেকে কি সংগ্রহ করে?,animals
gpt-93,bn,দ্রুততম স্থল প্রাণী কি?,animals
gpt-94,bn,কোন প্রাণী তার কুঁজ এবং মরুভূমিতে বসবাসের জন্য পরিচিত?,animals
gpt-95,bn,যে পাখি সাঁতার কাটতে পারে কিন্তু উড়তে পারে না তার উদাহরণ কী?,animals
gpt-96,bn,কোন সরীসৃপ তার চারপাশের সাথে মিশে তার ত্বকের রঙ পরিবর্তন করার জন্য পরিচিত?,animals
gpt-97,bn,কোন প্রাণীর ঘাড় খুব লম্বা এবং গাছে উঁচু পাতার জন্য পরিচিত?,animals
gpt-98,bn,কোন পাখি তার রঙিন পালক এবং মানুষের শব্দ অনুকরণ করার ক্ষমতার জন্য পরিচিত?,animals
gpt-99,bn,"কোন ছোট, নিশাচর স্তন্যপায়ী প্রাণীটি গাছে উল্টো ঝুলে থাকার জন্য পরিচিত?",animals
gpt-100,bn,সবচেয়ে বড় বিড়াল কি এবং এর স্বতন্ত্র কালো এবং কমলা ডোরাকাটা জন্য পরিচিত?,animals
lmsys-1,bn,ব্রাজিলের প্রথম রাষ্ট্রপতি কে ছিলেন?,none
lmsys-2,bn,ফ্রান্সের রাজধানী কি?,none
lmsys-3,bn,কিসের ওজন বেশি: দুই পাউন্ড পালক বা এক পাউন্ড ইট?,none
lmsys-4,bn,2013 সালে মার্কিন যুক্তরাষ্ট্রের রাষ্ট্রপতি কে ছিলেন?,none
lmsys-5,bn,"যদি একটি রেখা খণ্ডের শেষবিন্দু (2, -2) এবং (10, -2) হয়, তাহলে রেখাংশের দৈর্ঘ্য কত?",none
lmsys-6,bn,তানজানিয়ার রাজধানী কি?,none
lmsys-7,bn,দুটি দুটি প্লাস কি?,none
lmsys-8,bn,121 এর বর্গমূল কত?,none
lmsys-9,bn,কলা কি?,none
lmsys-10,bn,তিন থেকে পাঁচের শক্তি কত?,none
lmsys-11,bn,একটা গাছে দশটা পাখি। একটা উড়ে গেলে গাছে আর কয়টা থাকে?,none
lmsys-12,bn,সৌরজগতে কয়টি গ্রহ আছে?,none
lmsys-13,bn,জাপানের সর্বোচ্চ পর্বত কোনটি?,none
lmsys-14,bn,আপনি যদি একটি রেসে থাকতেন এবং দ্বিতীয় স্থানে থাকা ব্যক্তিকে পাস করেন তবে আপনি এখন কোন স্থানে থাকবেন?,none
lmsys-15,bn,বিড়ালদের কি ফ্যান আছে?,none
lmsys-16,bn,আকাশ কি রঙ?,none
lmsys-17,bn,চাঁদে প্রথম মানুষ কে?,none
lmsys-18,bn,x+y = 8 এবং (x/2) = 3 হলে x এবং y-এর মান কী?,none
lmsys-19,bn,দুইটির শক্তি পনেরো কি?,none
lmsys-20,bn,জার্মানির রাজধানী কি?,none
lmsys-21,bn,সবুজ গাড়ির রং কি?,none
lmsys-22,bn,ভারতের প্রথম প্রধানমন্ত্রী কে ছিলেন?,none
lmsys-23,bn,কোন প্রাণী দ্রুত দৌড়াতে পারে: কচ্ছপ বা খরগোশ?,none
lmsys-24,bn,180 ডিগ্রির সাইন কত?,none
lmsys-25,bn,2020 সালে কোন দেশের জনসংখ্যা সবচেয়ে বেশি ছিল?,none
lmsys-26,bn,আইফেল টাওয়ার কত লম্বা?,none
lmsys-27,bn,একটি কুকুর কি?,none
lmsys-28,bn,"যদি একটি গাড়ি দুই ঘণ্টায় 120 মাইল ভ্রমণ করে, তবে মাইল প্রতি ঘণ্টায় তার গড় গতি কত?",none
lmsys-29,bn,এক যোগ দুই বিয়োগ তিন যোগ চার বিয়োগ পাঁচ কত?,none
lmsys-30,bn,ভারতের রাজধানী কি?,none
lmsys-31,bn,প্রথম সাতটি মৌলিক সংখ্যা কী কী?,none
lmsys-32,bn,একটি আপেল কি?,none
lmsys-33,bn,একটি মুরগির পা কত?,none
lmsys-34,bn,ব্রাজিলের রাজধানী কি?,none
lmsys-35,bn,দুইটির বর্গমূল কত?,none
lmsys-36,bn,2017 সালে অস্ট্রেলিয়ার প্রধানমন্ত্রী কে ছিলেন?,none
lmsys-37,bn,2018 সালের ফুটবল বিশ্বকাপ কোন দল জিতেছে?,none
lmsys-38,bn,এক প্লাস ওয়ান কি?,none
lmsys-39,bn,2016 সালে পোল্যান্ডের প্রেসিডেন্ট কে ছিলেন?,none
lmsys-40,bn,মার্কিন যুক্তরাষ্ট্রের প্রথম রাষ্ট্রপতি কে ছিলেন?,none
lmsys-41,bn,পাঁচ কি একটি মৌলিক সংখ্যা?,none
lmsys-42,bn,আজ মঙ্গলবার হলে পরশু কোন দিন?,none
lmsys-43,bn,"একজন কৃষকের যদি সতেরোটি ভেড়া থাকে এবং নয়টি ছাড়া বাকি সবগুলোই মারা যায়, তাহলে কতজন অবশিষ্ট থাকে?",none
lmsys-44,bn,"2x+1=x হলে, x কত?",none
lmsys-45,bn,প্যারিস ইউরোপের কোথায়?,none
